id,cromosoma,proyectos,costo,beneficio,aptitud,valida
1,0010000010,P3;P9,16,32,32.00,SI
2,0000001011,P7;P9;P10,24,45,45.00,SI
3,0011100100,P3;P4;P5;P8,38,73,73.00,SI
4,1011101010,P1;P3;P4;P5;P7,51,98,93.00,NO
5,1100001000,P1;P2;P7,25,48,48.00,SI
6,1111011010,P1;P2;P3;P4;P6,63,123,58.00,NO
7,0001110100,P4;P5;P6;P8,41,78,78.00,SI
8,0111001011,P2;P3;P4;P7;P9,50,96,96.00,SI
9,1010011110,P1;P3;P6;P7;P8,58,114,74.00,NO
10,0100000101,P2;P8;P10,30,57,57.00,SI
11,1110011011,P1;P2;P3;P6;P7,68,133,43.00,NO
12,0101001001,P2;P4;P7;P10,34,64,64.00,SI
13,0011001100,P3;P4;P7;P8,35,68,68.00,SI
14,0001000101,P4;P8;P10,31,59,59.00,SI
15,1001111100,P1;P4;P5;P6;P7,59,113,68.00,NO
16,0010000000,P3,11,23,23.00,SI
17,0010011001,P3;P6;P7;P10,44,87,87.00,SI
18,0110001111,P2;P3;P7;P8;P9,52,100,90.00,NO
19,1000110000,P1;P5;P6,35,68,68.00,SI
20,1010110010,P1;P3;P5;P6;P9,51,100,95.00,NO
