Experimento,Corrida,Poblacion,Generaciones,Mutacion,Beneficio,Costo,Proyectos,Generacion mejor,Tiempo (s),Aptitud promedio final,Diversidad final,Diversidad promedio
A,1,10,50,0.01,93,49,"P1, P5, P8, P9, P10",44,0.004994,89.40,3,2.40
A,2,10,50,0.01,96,50,"P2, P3, P4, P7, P9, P10",2,0.004954,94.70,2,2.16
A,3,10,50,0.01,100,50,"P1, P3, P6, P10",3,0.005737,100.00,1,2.56
A,4,10,50,0.01,96,50,"P2, P3, P4, P7, P9, P10",1,0.004980,96.00,1,2.24
A,5,10,50,0.01,97,50,"P1, P3, P5, P9, P10",10,0.005537,93.70,2,2.14
B,1,20,100,0.05,100,50,"P1, P3, P6, P10",2,0.019591,88.65,8,8.45
B,2,20,100,0.05,99,50,"P1, P2, P3, P6, P7",2,0.019576,90.00,11,8.42
B,3,20,100,0.05,96,50,"P2, P3, P5, P8, P10",2,0.020149,88.85,6,8.55
B,4,20,100,0.05,100,50,"P1, P3, P6, P10",4,0.020075,92.05,9,9.08
B,5,20,100,0.05,98,50,"P1, P3, P4, P7, P10",6,0.021955,92.20,6,8.56
C,1,50,200,0.1,100,50,"P1, P3, P6, P10",6,0.114020,77.56,38,41.17
C,2,50,200,0.1,100,50,"P1, P3, P6, P10",23,0.091622,73.84,46,42.93
C,3,50,200,0.1,100,50,"P1, P3, P6, P10",60,0.089091,79.84,38,40.62
C,4,50,200,0.1,100,50,"P1, P3, P6, P10",44,0.091722,77.38,40,40.66
C,5,50,200,0.1,100,50,"P1, P3, P6, P10",49,0.088610,77.64,44,41.74
